username,userid,profile_location,created_at,text,retweet_count,source,coordinates
4 News Now,7940822,"Spokane, Washington",2023-01-14 20:30:05,We are an hour away from kickoff between the Seattle Seahawks and the San Francisco 49ers in the Wild Card Round of… https://t.co/TsTQgN9Jz0,0,SocialNewsDesk,
KREM 2 NEWS,15756056,"Spokane, Washington",2023-01-14 20:30:05,The San Francisco 49ers are hosting NFC West rival Seattle in the wild-card opener after beating the Seahawks twice… https://t.co/h1jD56Eohs,0,SocialNewsDesk,
Relentless Wrestling,1381827341270179841,"Spokane, WA",2023-01-14 20:12:25,"Thank you all ❤️

We noticed a lot of familiar faces on the guest list as well as some new ones! This show, especia… https://t.co/qLhfc1bc0f",13,Twitter for iPhone,
Grace Joins,1597730976817643520,Spokane,2023-01-14 19:56:33,"Spokane #FreePalestine #Nakba #Spokane
#EmeraldCity We are home to Mt. Olympus!
Be worthy of such a home #Seattle S… https://t.co/HTM9TLBwut",0,Twitter Web App,
Muttdawg509,1511670985312808967,"Spokane, WA",2023-01-14 18:20:28,@wallyhipolito @911PatchWA @49ersBBQsnob Right? That Cascadia Subduction zone is overdue and will be absolutely cat… https://t.co/TFKiVeSeAn,0,Twitter for iPhone,
Jonah 🇺🇦,1307706389083484160,"Spokane, WA",2023-01-14 18:08:52,@RGIII @49ers It rains in Seattle all the time wtf are you talking about smh,0,Twitter for Android,
Micah J Montgomery,875487361383137280,"Spokane, WA",2023-01-14 17:55:19,@ColinCowherd Seattle beat Detroit at Detroit in H2H regular season what are you mumbling about this time,0,Twitter for iPhone,
blank,35233179,spokane washington,2023-01-14 17:40:14,@SeattleSprtsFan @Lions @Seahawks @12s Seattle is the third richest city in America lol,0,Twitter for Android,
BALLER ON A BUDGET,1004314548386447360,"Spokane, WA",2023-01-14 17:12:19,Perfect Seattle weather https://t.co/bkbgvqCttO,0,Twitter for iPhone,
Cody Barton's Replacement,878547397466443776,"Spokane, WA",2023-01-14 16:56:07,@JeannaTrotmanTV Seahawks vs raiders. Trust me when I say that seattle has been screwed by refs this season too. We… https://t.co/VgrhDQdfQI,1,Twitter for Android,
BALLER ON A BUDGET,1004314548386447360,"Spokane, WA",2023-01-14 16:53:25,The refs have been screwing Seattle over since the Pittsburgh Super Bowl where are used to this shit https://t.co/xHbdYaAyBu,0,Twitter for iPhone,
